MSI Stealth 15M A11SDK 카본 그레이 WIN10 16GB램,i7-11세대,16,512,1930000,1690,15.6,외장
삼성전자 노트북 플러스2 NT550XDZ-AD2AW WIN10 8GB램,펜티엄 골드,8,256,727000,1810,15.6,내장
레노버 아이디어패드 Slim3-17IML 81WC008TKR,펜티엄 골드,4,128,539943,2200,17.3,내장
삼성전자 노트북 플러스 NT550XCJ-KC24,펜티엄 골드,4,256,762590,1810,15.6,내장
LG전자 2020 울트라PC 15U50N-LR26K 8GB램,펜티엄 골드,8,256,747770,1750,15.6,내장
삼성전자 노트북 플러스 NT550XCJ-K24BS,펜티엄 골드,4,128,679990,1810,15.6,내장
삼성전자 노트북 플러스2 NT550XDA-KH24G 16GB램,펜티엄 골드,16,128,764590,1810,15.6,내장
디클 클릭북 프로 K50-G10 WIN10,펜티엄 골드,4,128,659000,2300,15.6,외장
HP 15s-du1061TU WIN10 8GB램,펜티엄 골드,8,128,525320,1740,15.6,내장
HP 15s-du1061TU WIN10,펜티엄 골드,4,128,524010,1740,15.6,내장
LG전자 2020 울트라PC 15UD50N-LX20K WIN10,펜티엄 골드,4,256,624880,1750,15.6,내장
레노버 아이디어패드 Slim3-17IML PW,펜티엄 골드,4,128,559000,2450,17.3,내장
HP 14s-cf2056TU WIN10 8GB램,펜티엄 골드,8,128,523380,1430,14,내장
삼성전자 노트북 플러스2 NT550XDA-KH24G 8GB램,펜티엄 골드,8,128,700110,1810,15.6,내장
LG전자 2019 그램 14ZD990-LX10K WIN10,펜티엄 골드,4,128,946000,995,14,내장
LG전자 2020 그램15 15ZD995-LX20K WIN10 8GB램,펜티엄 골드,8,128,1138490,1099,15.6,내장
삼성전자 노트북5 NT550EBE-K24W,펜티엄 골드,4,128,619000,1950,15.6,내장
LG전자 2020 그램15 15ZD995-LX20K WIN10,펜티엄 골드,4,128,1070390,1099,15.6,내장
LG전자 2020 울트라PC 15UD50N-LX20K WIN10 8GB램,펜티엄 골드,8,256,762670,1750,15.6,내장
LG전자 2019 울트라PC 15U590-LR26K,펜티엄 골드,4,128,565990,1750,15.6,내장
삼성전자 2018 노트북 Pen NT930QAA-K28A,펜티엄 골드,8,128,1398990,995,13.3,내장
삼성전자 2019 노트북9 Always NT950XBV-A28A WIN10,펜티엄 골드,8,256,1376390,1250,15,내장
레노버 플렉스 5 14ITL 82HSCTO1WWKOKR0,펜티엄 골드,8,256,785995,1650,14,내장
삼성전자 노트북5 NT500R3M-K24,펜티엄 골드,4,128,791200,1450,13.3,내장
삼성전자 노트북7 NT730XBE-K24HS,펜티엄 골드,4,128,978990,1290,13.3,내장
삼성전자 2019 노트북 Pen NT930QBE-K28,펜티엄 골드,8,128,2696990,995,13.3,내장
